Country,Country_Code,Year,GDP_per_capita
Syrian Arab Republic,SYR,2024,847.372723418531
Liberia,LBR,2024,846.277368387389
Nigeria,NGA,2024,806.945695055244
Low income,LIC,2024,746.934788844338
Niger,NER,2024,722.748650326257
"Congo, Dem. Rep.",COD,2024,647.435704836002
Somalia,SOM,2024,636.983477589273
Madagascar,MDG,2024,544.997302693127
Central African Republic,CAF,2024,516.170424537757
Burundi,BDI,2024,153.930217854023
